,Local authority code,Local authority name,LSOA code,LSOA name,1996-03-01 00:00:00,1996-06-01 00:00:00,1996-09-01 00:00:00,1996-12-01 00:00:00,1997-03-01 00:00:00,1997-06-01 00:00:00,1997-09-01 00:00:00,1997-12-01 00:00:00,1998-03-01 00:00:00,1998-06-01 00:00:00,1998-09-01 00:00:00,1998-12-01 00:00:00,1999-03-01 00:00:00,1999-06-01 00:00:00,1999-09-01 00:00:00,1999-12-01 00:00:00,2000-03-01 00:00:00,2000-06-01 00:00:00,2000-09-01 00:00:00,2000-12-01 00:00:00,2001-03-01 00:00:00,2001-06-01 00:00:00,2001-09-01 00:00:00,2001-12-01 00:00:00,2002-03-01 00:00:00,2002-06-01 00:00:00,2002-09-01 00:00:00,2002-12-01 00:00:00,2003-03-01 00:00:00,2003-06-01 00:00:00,2003-09-01 00:00:00,2003-12-01 00:00:00,2004-03-01 00:00:00,2004-06-01 00:00:00,2004-09-01 00:00:00,2004-12-01 00:00:00,2005-03-01 00:00:00,2005-06-01 00:00:00,2005-09-01 00:00:00,2005-12-01 00:00:00,2006-03-01 00:00:00,2006-06-01 00:00:00,2006-09-01 00:00:00,2006-12-01 00:00:00,2007-03-01 00:00:00,2007-06-01 00:00:00,2007-09-01 00:00:00,2007-12-01 00:00:00,2008-03-01 00:00:00,2008-06-01 00:00:00,2008-09-01 00:00:00,2008-12-01 00:00:00,2009-03-01 00:00:00,2009-06-01 00:00:00,2009-09-01 00:00:00,2009-12-01 00:00:00,2010-03-01 00:00:00,2010-06-01 00:00:00,2010-09-01 00:00:00,2010-12-01 00:00:00,2011-03-01 00:00:00,2011-06-01 00:00:00,2011-09-01 00:00:00,2011-12-01 00:00:00,2012-03-01 00:00:00,2012-06-01 00:00:00,2012-09-01 00:00:00,2012-12-01 00:00:00,2013-03-01 00:00:00,2013-06-01 00:00:00,2013-09-01 00:00:00,2013-12-01 00:00:00,2014-03-01 00:00:00,2014-06-01 00:00:00,2014-09-01 00:00:00,2014-12-01 00:00:00,2015-03-01 00:00:00,2015-06-01 00:00:00,2015-09-01 00:00:00,2015-12-01 00:00:00,2016-03-01 00:00:00,2016-06-01 00:00:00,2016-09-01 00:00:00,2016-12-01 00:00:00,2017-03-01 00:00:00,2017-06-01 00:00:00,2017-09-01 00:00:00,2017-12-01 00:00:00,2018-03-01 00:00:00,2018-06-01 00:00:00,2018-09-01 00:00:00,2018-12-01 00:00:00,2019-03-01 00:00:00,2019-06-01 00:00:00,2019-09-01 00:00:00,2019-12-01 00:00:00,2020-03-01 00:00:00,2020-06-01 00:00:00,2020-09-01 00:00:00,2020-12-01 00:00:00,2021-03-01 00:00:00,2021-06-01 00:00:00,2021-09-01 00:00:00,2021-12-01 00:00:00,2022-03-01 00:00:00,2022-06-01 00:00:00,2022-09-01 00:00:00,2022-12-01 00:00:00
10,E09000002,Barking and Dagenham,E01000010,Barking and Dagenham 015C,54770,53410,59327,52317,51565,52242,55983,54186,54372,57141,58909,62294,61417,64285,62873,71107,70292,76420,68976,86182,80742,89936,73757,88457,90653,104202,92378,101416,110814,126978,120852,120307,138632,159975,160731,162965,161664,169961,159678,149927,145161,149927,149899,149370,151979,165567,163985,164286,164312,173480,169569,165578,164123,170365,165000,155586,150407,151382,140128,137500,143138,151265,148675,147165,145770,147245,140580,137704,132201,135623,135412,143195,145974,156751,158677,168506,171734,180121,184099,194130,200525,207550,212105,219221,222977,224197,225877,228529,229520,228405,227636,229047,228362,226340,223686,225102,224894,217723,212728,210170,205513,202098,200489,199894,199974,196294,195537,194202
11,E09000002,Barking and Dagenham,E01000011,Barking and Dagenham 016C,50848,49251,52369,52567,53379,53093,55884,57284,59366,61349,63766,65768,67608,70109,71966,74412,77884,82994,87208,91962,97290,102863,105952,109984,116520,125337,132669,142729,150145,159374,165300,172517,174614,176384,175468,176228,175846,178349,183004,189100,192697,194114,198156,198687,203134,201595,211733,208766,217923,211750,219503,204037,202981,190240,204242,195420,200365,194396,215518,214071,209173,202919,214927,217199,205647,209401,225180,238645,227437,233732,243596,248582,226565,227801,241136,253310,244327,252037,280237,296349,298073,304539,338265,350519,348717,346924,378072,380859,379817,355182,379707,372490,346447,328245,347357,345481,315819,303606,339368,353025,338731,395313,412587,414022,380618,451653,450794,448766
12,E09000002,Barking and Dagenham,E01000012,Barking and Dagenham 015D,33110,31960,32683,34008,34886,35040,38014,41149,44511,45796,47304,47349,47619,46404,46546,46056,47359,50014,51374,52250,55392,59553,60673,62059,66604,72991,77746,82223,89913,100183,107606,112376,117793,125067,127108,126327,126816,131989,130790,126879,126020,129426,131605,132734,133967,137763,138739,137860,137577,139553,135315,138726,137027,136275,125533,128524,125211,127675,112163,115505,118045,128519,116209,134510,142681,163006,147964,171216,175066,173550,170669,199319,198224,178387,177895,212405,200229,155130,172111,197411,204447,161025,178420,202612,225362,188673,203820,213401,233472,204891,214945,216438,231031,210984,226635,229208,244060,237850,247319,252391,255000,256777,255843,248132,244957,255057,252365,242573
13,E09000002,Barking and Dagenham,E01000013,Barking and Dagenham 013A,41580,42080,41757,43289,45694,47262,47933,48792,50942,53462,55075,55684,56755,58324,60102,60459,63290,67683,72015,74086,76753,80108,85050,88777,93012,98724,106167,113343,117749,123692,131336,139350,142764,147602,150589,154309,154942,157396,158063,160457,161105,163600,165117,166340,167978,173059,176173,179094,181849,187090,178389,172932,168533,164575,159022,156659,157130,158457,156098,155370,158742,158662,155368,152420,156431,153685,155112,156521,166916,167670,172636,175671,190225,191126,198015,205591,223312,226225,236498,247868,267683,274109,283186,288458,299593,298621,301643,303281,308691,308365,312351,311692,309227,307411,310336,311130,304875,302532,308754,316965,315030,320552,329207,345388,347893,361384,364181,381110
14,E09000002,Barking and Dagenham,E01000014,Barking and Dagenham 013B,42131,43364,44874,45489,45801,46796,47427,49058,51058,53287,53380,55107,56854,58208,56874,59516,62208,67331,67685,70995,74270,80850,81662,86018,91041,100170,105250,112004,119740,129563,133115,136595,141891,146897,148302,151947,155971,158312,157799,158801,160150,158742,158997,164201,169313,168816,174655,183006,187953,180307,183740,187812,189018,174698,174569,173380,172146,159465,160089,161054,163847,157803,159859,159946,161094,157929,162009,163979,167220,169475,177773,183637,189468,194049,205489,215910,221373,228537,242402,258027,262020,264857,285739,296006,294992,281238,300139,305515,303855,283044,307733,309588,314524,293582,313148,314177,314691,305161,324650,332137,325106,322055,335936,345193,326399,333119,344789,359554
15,E09000002,Barking and Dagenham,E01000015,Barking and Dagenham 009A,49128,47915,47890,46543,47549,47786,49676,50899,53201,53364,55046,56297,57834,58115,60760,64059,67054,68526,71186,75076,78309,79988,82250,87324,92860,97804,103019,110625,118253,125175,129913,134109,139162,143468,147289,150397,154533,156723,157769,158581,159263,160132,160790,164384,165266,170339,174467,182305,181314,186223,187687,189341,178588,175012,169675,166543,154662,152542,153727,154897,150901,150825,149729,150117,150210,150458,151901,154942,162363,163266,164362,164784,175768,177586,181342,182289,192921,193055,193624,188189,202693,205428,205678,208381,228813,239117,244247,246237,265655,277630,283398,281647,293845,301225,304800,300512,302758,302055,300903,302040,301509,302850,310611,322862,322376,327117,338640,355732
16,E09000002,Barking and Dagenham,E01000016,Barking and Dagenham 009B,50537,47418,49195,50088,50733,49076,50432,51780,52253,53172,55335,57579,58158,60259,61584,64105,65532,68811,73354,76124,77278,79957,86811,89673,92496,99233,110287,115279,121251,128410,137059,140322,143896,150038,157411,157703,157680,158818,159455,155399,154351,153648,158883,159714,164726,164728,175878,179284,182802,175475,182764,180750,177733,161251,167448,165259,163691,151973,160069,161896,163194,156431,161230,162065,164221,161639,169569,174783,179108,177946,185290,189538,193056,189700,206444,217037,227272,233561,246936,254602,262904,271768,283349,287615,291926,298697,303402,303360,303254,308347,308909,307868,306261,311144,310743,308889,306636,311880,309647,311451,310809,320454,321258,328983,330684,345078,347069,359418
17,E09000002,Barking and Dagenham,E01000017,Barking and Dagenham 009C,47147,43048,43126,43801,49226,47415,48417,50908,54318,53813,54180,56725,57005,58691,60630,65598,66551,70109,72851,76612,77327,81253,84773,87888,90313,97685,104881,108820,114822,124015,134137,137368,142848,148505,156391,157742,159157,160669,165304,163317,163718,164099,168625,166616,168385,173013,179128,177345,179890,184746,187780,180340,179338,178897,174721,167341,165573,166321,165464,163808,165326,167807,167526,165985,165357,165505,163323,162590,162939,169776,174323,178389,185500,193548,200811,207930,221167,229036,239677,248444,265540,273899,281361,285345,295149,298582,302977,305062,308582,307556,306411,307259,308472,309199,310736,309580,310999,309992,312387,310551,314183,313992,317829,320102,330415,335148,348276,349349
18,E09000002,Barking and Dagenham,E01000018,Barking and Dagenham 009D,46212,47014,48504,48971,48591,50223,52115,53107,53252,54311,54657,54976,55689,57809,58564,60246,63269,68030,69835,74905,82235,90040,90848,94944,101447,107361,108595,110669,121466,129041,133425,137695,144070,149185,152073,153339,155542,157669,160261,159097,159066,160513,166389,166255,169262,173282,180784,180370,183089,182534,182120,178386,174205,168694,163000,161472,159790,156732,152581,158770,159440,160383,159226,163529,164732,165830,163043,168137,171552,174742,175126,188598,196370,203099,205306,219688,225784,231588,232241,249261,256390,264448,267723,282533,290945,300504,296709,300696,302410,306487,304390,300948,300985,304959,310110,308853,311234,321569,328480,327343,326882,339775,347879,349054,347740,363826,373107,374648
19,E09000002,Barking and Dagenham,E01000019,Barking and Dagenham 023A,49241,49929,48672,47999,48899,50488,50538,51109,52705,54810,55683,56782,58585,61004,62333,63443,66098,69821,72901,75542,80661,85684,88115,92614,100796,108778,113092,120026,128938,136335,137846,142438,148315,153466,154608,157274,160341,163707,163477,163201,164761,168534,170916,173094,179296,187681,190502,188329,189964,194361,193929,186637,183025,184044,181136,171379,169628,170894,171553,164798,169628,175136,177931,170574,178669,181771,186519,175648,180634,185999,198285,192542,201260,210356,230345,226787,234330,243500,262221,261626,268092,279653,300761,295830,295624,299395,310789,313255,312756,314188,328113,331251,329686,327476,342611,343216,336805,327435,339614,341607,337344,328650,347739,355012,350813,340304,361040,370284
20,E09000002,Barking and Dagenham,E01000020,Barking and Dagenham 023B,47586,47447,48670,49550,50990,51740,53547,55227,56776,56875,57924,59517,60928,61228,61800,63930,65707,66978,70597,76921,81535,86565,94010,104217,110362,115904,120838,128283,130988,135997,140641,146520,148938,155745,158053,161259,163444,170980,172870,174946,174329,179764,179774,179183,183943,190585,193843,196707,192815,193675,193721,192137,181524,179042,180554,181206,173551,173687,179992,182831,176238,173421,176025,175401,167047,163958,173735,176453,173976,176392,192241,196081,197408,207656,225376,228426,233767,247206,257340,265374,274695,289483,287276,298160,307853,314170,304804,314443,326196,322212,310915,315500,329597,320387,310630,310278,331621,322643,315728,314677,341893,333510,328676,325201,355172,343796,338764,331738
21,E09000002,Barking and Dagenham,E01000021,Barking and Dagenham 008A,49606,50064,50149,50298,55196,56389,56678,56804,59391,59985,60122,60863,62753,64877,66343,68124,69659,72196,74689,78042,79461,81505,88391,93931,98608,102503,109964,115855,122222,126697,134205,139567,145846,149418,155906,157350,163180,164137,166306,163048,169104,169231,170134,168536,174942,175144,175480,175694,183647,185702,187614,190069,197617,200429,188183,181447,177825,167054,164990,164311,164780,162576,160968,161679,162473,161175,163405,169021,171828,171555,177105,185820,189233,189961,200384,213805,216705,222602,231981,250412,252445,263412,270890,292480,288929,298583,298563,309084,303825,308257,307978,313666,309869,312611,316097,320712,322429,324681,330343,337582,337517,339032,347302,358877,358272,359473,369975,384654
22,E09000002,Barking and Dagenham,E01000022,Barking and Dagenham 008B,52396,48016,47041,47141,50609,49077,49962,52506,55008,54893,55657,58536,59811,62062,63971,67416,67590,70637,72194,75333,76344,82672,86222,89072,91476,100405,106029,111393,118306,129372,136636,142174,145861,153727,158910,162375,167711,173358,174795,173979,174783,175257,174263,172254,174171,176060,178050,178896,182921,184117,183709,182680,181672,178531,176402,174857,173256,169744,171532,171287,170929,167029,169260,164613,160556,167707,175767,178108,186000,186257,196252,198349,204827,205403,215749,220143,226196,228361,242835,244936,251667,258378,279016,278436,285570,287907,305654,298717,302195,299837,309043,301792,310469,308233,311754,301611,320702,320525,320183,306019,340966,349014,350304,342098,392599,406980,404026,393137
23,E09000002,Barking and Dagenham,E01000023,Barking and Dagenham 008C,48775,50230,48557,47040,48904,50864,50464,50228,52057,53321,53507,54448,56698,58089,58556,58708,59617,60398,62596,64241,65948,68311,71966,72777,73903,78592,87033,91272,96835,106332,117761,122807,125368,130335,135618,136432,136714,140452,143748,144789,145707,148584,149331,151134,153905,157689,163316,165323,168195,170315,174923,174992,176478,175950,180107,180813,182043,181026,182772,183221,181864,179894,179223,178388,175170,174539,173837,173960,173036,176840,179481,179719,180601,186180,185463,183614,184794,203450,216275,228563,250182,252212,255260,260575,272600,262135,260714,261931,260798,254144,251340,250000,252095,255711,261402,269120,259146,267289,272740,287219,269434,287431,297588,317306,290267,317246,330877,354934
24,E09000002,Barking and Dagenham,E01000024,Barking and Dagenham 008D,46991,48777,47483,46879,47897,50498,50442,51763,53607,57068,57552,58258,58090,61876,63409,66505,68716,72928,74743,78075,79164,82902,86747,92636,97423,104105,111081,120538,127381,134318,139981,146220,149499,153683,155303,159137,159805,162754,161765,164746,163533,168622,168073,173239,171948,179744,178310,184350,179281,183968,184362,191901,179222,177978,174904,177458,168527,168207,172840,180128,177528,178590,177462,180072,175642,177201,173178,176014,174124,180846,179153,185291,188208,203264,207094,218718,222761,241544,244606,253532,253465,263625,281016,291554,309607,314908,316008,315654,312530,313968,315574,314135,312344,314801,324680,315614,296515,310915,325349,319199,288072,312000,346145,354076,324997,370215,410171,417864
25,E09000002,Barking and Dagenham,E01000025,Barking and Dagenham 008E,49686,57748,59760,60325,55717,59957,59634,57959,53160,54073,54415,56280,56449,58535,61332,65677,68491,70051,70695,74922,77296,77584,79221,86618,94272,98126,102988,113091,123653,129311,134957,139743,146096,149513,153953,154866,158127,159301,162892,161201,161291,158887,165158,166199,169984,170150,183739,189964,192203,184302,191679,192759,189891,174554,177638,174660,169284,159545,161887,164041,162596,161270,161371,162173,159703,166534,166697,173459,175435,176437,174553,189509,195269,197428,200286,217424,223381,225381,232507,254169,263052,270685,279054,292755,295679,296682,296389,301482,302174,303382,303257,304488,307594,306887,301247,298136,302232,302475,303610,304779,318084,320212,325022,330217,352382,359616,369139,376264
26,E09000002,Barking and Dagenham,E01000027,Barking and Dagenham 001A,50956,52449,50652,51530,55587,57496,57778,59819,64709,66624,67658,68006,70309,70456,72564,74427,79349,82220,86019,88119,90879,91351,92822,94666,98754,101837,105840,112919,122604,129424,135203,143963,155251,158921,158857,163654,169175,167552,165882,170620,174550,173373,174352,182252,187917,191442,199252,201930,201132,199305,201044,204767,199894,194084,189675,191971,184466,179547,175733,181887,179049,178967,175779,183075,177797,178659,175687,186338,175889,178296,181147,197367,187385,195901,206099,228980,218721,228960,238527,249941,245434,249833,258000,265727,273331,282790,291177,292500,309297,318287,323113,322595,328275,342890,337903,334238,324926,328579,330656,337531,319512,325449,344112,363355,336092,342731,374665,404818
27,E09000002,Barking and Dagenham,E01000028,Barking and Dagenham 001B,46954,46798,44532,46984,52516,54000,53631,56794,60134,61921,62292,64330,64117,63848,63247,65939,67515,71196,75892,81275,82195,84022,87293,92118,93627,98841,107530,117260,121258,127365,137883,147043,149129,151573,157547,161261,160144,158090,160670,160381,159190,155656,158608,161133,161523,163338,168220,176337,175391,180509,184141,188971,178297,178192,171427,175482,165303,167703,160679,164921,157290,158967,148370,151890,147399,148270,135075,146604,147766,147158,138230,164619,171010,172040,179228,202957,206800,205006,226468,250205,258916,268493,281733,292586,295150,301018,306828,305352,306401,313362,316485,310236,309406,313311,315085,298989,300499,307610,305716,291940,294599,304936,300985,300116,312920,336367,336965,338318
28,E09000002,Barking and Dagenham,E01000029,Barking and Dagenham 001C,65781,64340,67922,68713,67573,68994,71763,74051,75984,81859,81930,81501,80924,86470,83836,84314,89447,95814,95975,93737,106348,111663,115546,114628,134145,139074,147081,148079,167825,168619,178934,180312,196089,195229,201818,200207,205401,202276,205976,210592,212201,208661,209798,219470,215139,206010,200667,206900,201712,192402,191606,201957,206076,204653,206414,215626,223967,228466,234746,237352,242414,242158,240281,233656,232699,230621,233664,229777,236698,233812,242217,239324,254183,252736,265610,267258,287418,284784,297546,303788,324512,326143,335635,340682,352651,352034,354350,355792,362172,362600,368172,368007,372228,371240,370126,362895,368515,366598,365741,364640,382361,387837,388894,389946,417095,425005,422957,421937
29,E09000002,Barking and Dagenham,E01000030,Barking and Dagenham 001D,36852,32419,34436,50586,55244,51691,48581,55375,54862,54854,55803,60059,57717,58500,57578,59592,60306,63299,68694,68775,66228,64744,74884,80419,85309,91230,106503,112608,114069,109896,113705,110762,114455,117769,130423,141041,152664,156735,167992,170727,171658,167439,174814,177207,178544,177942,186471,183488,190623,196105,204776,187663,203176,199719,196399,153290,176221,172867,171517,124612,161859,164462,162035,118059,143870,136175,144403,126195,152236,154060,174269,172955,193961,191963,207396,211839,220749,211377,216730,221397,234004,239866,255041,271717,297081,300858,304564,301701,311942,307341,314573,321336,358613,372557,416866,427105,416439,396120,402974,382858,353007,344227,368477,367576,333290,332889,367696,377850
30,E09000002,Barking and Dagenham,E01000031,Barking and Dagenham 002A,63129,63692,63475,65554,66943,69560,72682,78233,83122,85728,86079,87440,89682,89473,89626,91507,96644,96804,100483,104490,115768,114075,118399,123445,133712,131560,138083,151107,162335,161061,165894,182380,188902,188459,193267,212270,217351,216506,211972,220471,218648,211937,208509,220036,225049,227891,230648,238397,237880,236215,229704,232418,222126,218002,209931,212878,204453,203297,205711,219367,218380,218964,218295,224467,226351,222672,220832,224649,233120,232220,234517,240740,248572,246247,253661,268830,280520,285127,294599,311467,319534,322405,331226,353913,361711,369683,379307,391626,388580,387404,390872,398668,395022,392012,399398,400389,393588,390566,405507,405424,392847,396069,426922,431810,422682,430734,468471,470064
